Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
AL BADA',25.225314485137428,55.26876791959561,Society Cafe & Lounge,25.232359676256685,55.264180233239934,Café
AL BADA',25.225314485137428,55.26876791959561,La Mer (لا مير),25.22943331393332,55.25927847496393,Neighborhood
AL BADA',25.225314485137428,55.26876791959561,Life'n One,25.230581549468052,55.26331280833744,Vegetarian / Vegan Restaurant
AL BADA',25.225314485137428,55.26876791959561,Gerard Cafe (جيرارد),25.230919645624756,55.26367062051173,Café
AL BADA',25.225314485137428,55.26876791959561,Stomping Grounds - Specialty Coffee HUB,25.2231549497475,55.25823259782172,Café
AL BADA',25.225314485137428,55.26876791959561,Starbucks Reserve,25.230714066903797,55.25922283745755,Coffee Shop
AL BADA',25.225314485137428,55.26876791959561,SALT,25.232979757047957,55.261125027227195,Burger Joint
AL BADA',25.225314485137428,55.26876791959561,La Mer Beach North,25.231253,55.258522,Beach
AL BADA',25.225314485137428,55.26876791959561,La Mer Beach South,25.226614,55.25572,Beach
AL BADA',25.225314485137428,55.26876791959561,Jumeirah Beach,25.233158,55.261334,Beach
AL BADA',25.225314485137428,55.26876791959561,Dubai Marine Beach Resort & Spa,25.2343354196784,55.26257028466902,Resort
AL BADA',25.225314485137428,55.26876791959561,Loca,25.2334356324516,55.26356717351985,Mexican Restaurant
AL BADA',25.225314485137428,55.26876791959561,Brunch & Cake Dubai,25.217598875991705,55.26052236557007,Restaurant
AL BADA',25.225314485137428,55.26876791959561,M’oisî,25.229337,55.258893,Ice Cream Shop
AL BADA',25.225314485137428,55.26876791959561,N.Bar Palm Strip Mall,25.233611223940294,55.26449231881414,Salon / Barbershop
AL BADA',25.225314485137428,55.26876791959561,Comptoir 102,25.226119,55.258538,Gluten-free Restaurant
AL BADA',25.225314485137428,55.26876791959561,Jumeira Secret Beach,25.220724104390943,55.2620523509165,Beach
AL BADA',25.225314485137428,55.26876791959561,Parker’s,25.227474908611217,55.25708499210415,Comfort Food Restaurant
AL BADA',25.225314485137428,55.26876791959561,Amorino,25.225777924105014,55.25548021164153,Ice Cream Shop
AL BADA',25.225314485137428,55.26876791959561,The Hundred Wellness Center,25.22086969646566,55.25917373525196,Gym / Fitness Center
AL BADA',25.225314485137428,55.26876791959561,The One - Jumeirah,25.233482226332136,55.26501475851987,Furniture / Home Store
AL BADA',25.225314485137428,55.26876791959561,Sho Cho,25.234851452564673,55.262274713934396,Bar
AL BADA',25.225314485137428,55.26876791959561,Milk Bakery And Cafe,25.216794,55.259834,Bakery
AL BADA',25.225314485137428,55.26876791959561,Level 43 Rooftop Lounge,25.21393958289782,55.2761482922495,Lounge
AL BADA',25.225314485137428,55.26876791959561,Smoky Beach,25.231806208562446,55.25963918530693,Hookah Bar
AL BADA',25.225314485137428,55.26876791959561,BLKCAB Coffee,25.230286,55.258376,Coffee Shop
AL BADA',25.225314485137428,55.26876791959561,STARS N BARS,25.233473185783506,55.26076303206107,Beach Bar
AL BADA',25.225314485137428,55.26876791959561,Starbucks (ستاربكس),25.2157601,55.2773068,Coffee Shop
AL BADA',25.225314485137428,55.26876791959561,SEPHORA,25.22860571110313,55.257945732677385,Cosmetics Shop
AL BADA',25.225314485137428,55.26876791959561,Amongst Few Café,25.234069,55.264466,Restaurant
AL BADA',25.225314485137428,55.26876791959561,Osh,25.233212,55.260357,Restaurant
AL BADA',25.225314485137428,55.26876791959561,Jumeirah Emirates Towers Hotel,25.217705300738725,55.28213647542921,Hotel
AL BADA',25.225314485137428,55.26876791959561,Culinary Boutique,25.2205814523125,55.255082324201744,Mediterranean Restaurant
AL BADA',25.225314485137428,55.26876791959561,Conrad Dubai,25.22608872597574,55.283571143928384,Hotel
